지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
코스피 (외국주포함),,,,,,,401232.0,9353678.0,2186414425.0
코스피,2685.84,19.0,0.71,2678.52,2688.07,2665.28,400125.0,9375321.0,2185373048.0
코스피 200,361.31,1.92,0.53,360.74,361.77,358.53,118962.0,6463879.0,1907697549.0
코스피 100,2738.42,13.25,0.49,2734.56,2741.4,2716.11,82329.0,5410188.0,1743407001.0
코스피 50,2521.24,12.29,0.49,2516.89,2524.05,2497.54,49236.0,4355136.0,1501090885.0
코스피 200 중소형주,1234.41,12.42,1.02,1231.05,1236.9,1225.85,36633.0,1053691.0,164290547.0
코스피 200 초대형제외 지수,262.43,1.23,0.47,262.15,262.76,259.91,107527.0,5632171.0,1473097379.0
코스피200제외 코스피지수,3358.66,31.94,0.96,3339.16,3358.91,3335.04,277159.0,2757175.0,204514484.0
코스피 200 커뮤니케이션서비스,1750.25,-7.5,-0.43,1764.02,1766.32,1740.88,4219.0,356077.0,110328050.0
코스피 200 건설,319.23,-1.55,-0.48,321.0,321.0,316.6,4401.0,173163.0,49184762.0
코스피 200 중공업,368.88,7.96,2.21,365.42,370.13,361.73,27409.0,676286.0,72906741.0
코스피 200 철강/소재,862.96,12.11,1.42,858.32,866.41,854.41,2819.0,299899.0,60220559.0
코스피 200 에너지/화학,1357.72,17.18,1.28,1350.25,1360.32,1337.42,5726.0,571572.0,128481027.0
코스피 200 정보기술,3351.01,20.62,0.62,3340.83,3355.21,3315.85,18354.0,1785713.0,667562882.0
코스피 200 금융,825.17,-10.31,-1.23,832.91,833.64,805.92,21245.0,725836.0,210358298.0
코스피 200 생활소비재,801.12,-0.16,-0.02,805.73,808.94,799.27,4937.0,278463.0,79764495.0
코스피 200 경기소비재,1769.23,7.32,0.42,1768.56,1783.29,1751.11,7143.0,528658.0,177966397.0
코스피 200 산업재,641.97,6.64,1.05,640.01,644.36,638.44,20304.0,722238.0,213327136.0
코스피 200 헬스케어,1905.04,31.95,1.71,1879.9,1923.26,1878.41,2406.0,345974.0,137597202.0
음식료품,3362.81,10.13,0.3,3366.67,3379.13,3330.88,2915.0,64563.0,23650982.0
섬유의복,255.28,0.5,0.2,254.67,255.94,252.93,2584.0,12107.0,6090262.0
종이목재,301.88,3.28,1.1,299.2,301.88,298.79,3578.0,9473.0,2685012.0
화학,4657.9,68.75,1.5,4627.52,4661.4,4591.2,15541.0,1191722.0,157379805.0
의약품,14267.97,343.53,2.47,14005.88,14435.63,14005.88,20465.0,412122.0,134030349.0
비금속광물,4085.03,-13.37,-0.33,4095.65,4097.56,4078.68,1592.0,10490.0,9100373.0
철강금속,5511.6,44.76,0.82,5499.14,5515.4,5450.77,26617.0,367243.0,66791498.0
기계,1295.72,17.66,1.38,1289.57,1298.1,1286.64,54979.0,707764.0,51016647.0
전기전자,27282.44,362.96,1.35,27063.8,27320.89,27031.71,82545.0,3054068.0,854716097.0
의료정밀,1732.57,-3.21,-0.18,1732.84,1741.02,1723.81,2183.0,37278.0,4720176.0
운수장비,2609.63,33.95,1.32,2596.19,2622.12,2577.35,37258.0,998614.0,199883841.0
유통업,381.09,-3.04,-0.79,385.2,385.2,380.0,34375.0,348668.0,72294981.0
전기가스업,767.13,-15.93,-2.03,780.21,783.55,764.26,2711.0,66931.0,20225143.0
건설업,71.3,-0.46,-0.64,71.69,71.69,70.91,17651.0,73492.0,14153876.0
운수창고업,1559.89,-3.94,-0.25,1565.88,1576.89,1558.14,24926.0,143789.0,41357041.0
통신업,400.42,-1.05,-0.26,402.31,402.98,397.97,1815.0,39947.0,26104109.0
금융업,457.17,-4.4,-0.95,461.39,461.68,450.6,42094.0,1249412.0,322494990.0
증권,2124.57,-1.9,-0.09,2132.67,2136.99,2100.76,8088.0,67839.0,23839515.0
보험,20819.4,-172.67,-0.82,20937.78,21009.32,20263.85,6848.0,149898.0,52957620.0
서비스업,1094.51,-4.65,-0.42,1101.32,1101.79,1090.96,21714.0,538034.0,162588998.0
제조업,7061.89,96.63,1.39,7007.73,7066.42,6996.46,252531.0,6883996.0,1525045933.0
코스피 대형주,2687.04,19.49,0.73,2678.99,2689.53,2663.92,87610.0,5845701.0,1771793746.0
코스피 중형주,2867.55,21.21,0.75,2863.3,2873.5,2851.15,94639.0,2060341.0,247806615.0
코스피 소형주,2324.78,8.88,0.38,2320.95,2327.42,2320.95,213621.0,1244908.0,89481890.0
코스피 200 비중상한 30%,360.93,1.91,0.53,360.37,361.39,358.16,118962.0,6463879.0,1907697549.0
코스피 200 비중상한 25%,357.5,1.85,0.52,356.98,357.95,354.63,118962.0,6463879.0,1907697549.0
코스피 200 비중상한 20%,347.4,1.77,0.51,346.91,347.83,344.5,118962.0,6463879.0,1907697549.0
코스피 200 TOP 10,1368.83,23.84,1.77,1354.26,1371.65,1348.22,18794.0,2529372.0,942123032.0
